CarCount,BikeCount,BusCount,TruckCount,TotalCount
102,85,31,14,232
92,90,3,0,185
14,34,10,4,62
106,64,16,27,213
71,98,37,28,234
20,46,23,15,104
102,77,4,18,201
121,2,33,3,159
74,0,5,2,81
87,4,21,16,128
116,89,10,16,231
99,13,15,11,138
103,26,32,27,188
130,8,8,29,175
149,78,5,28,260
52,14,15,13,94
1,89,28,20,138
87,41,2,5,135
37,76,19,2,134
129,50,35,27,241
20,62,18,8,108
57,95,25,4,181
21,51,2,23,97
88,95,18,28,229
48,3,19,16,86
58,93,31,13,195
14,22,6,20,62
50,14,32,2,98
107,42,39,27,215
54,28,38,0,120
63,35,17,19,134
130,12,39,28,209
50,31,0,20,101
134,70,10,22,236
20,58,27,0,105
72,85,24,2,183
17,27,22,17,83
131,65,30,24,250
88,41,29,9,167
59,44,34,21,158
13,61,6,25,105
8,56,15,2,81
89,5,25,7,126
52,27,1,13,93
129,27,0,23,179
83,43,11,17,154
91,83,4,14,192
110,29,36,21,196
7,61,31,22,121
34,74,8,1,117
80,91,34,26,231
49,88,18,9,164
103,61,15,1,180
131,96,2,25,254
1,0,19,16,36
133,26,23,7,189
53,61,32,0,146
105,76,23,8,212
3,2,10,10,25
53,69,7,21,150
145,71,35,15,266
43,26,37,6,112
13,8,39,28,88
94,61,19,9,183
47,36,34,22,139
14,96,24,25,159
39,50,34,2,125
81,43,24,17,165
110,23,28,24,185
52,78,17,23,170
23,58,17,12,110
123,31,1,27,182
40,95,34,25,194
14,87,15,6,122
44,51,35,24,154
64,61,32,3,160
88,57,3,12,160
70,51,32,19,172
8,11,13,0,32
87,38,20,7,152
128,1,19,13,161
135,2,7,15,159
62,55,6,13,136
138,80,2,11,231
80,58,16,18,172
135,1,32,22,190
32,1,11,14,58
122,91,21,27,261
4,53,21,1,79
40,86,29,1,156
27,95,37,22,181
134,96,37,21,288
71,0,7,18,96
11,18,26,24,79
32,1,26,25,84
47,52,33,29,161
61,43,20,28,152
36,89,29,21,175
98,31,32,25,186
103,69,27,25,224
